1.35,3.0897,0.0490,2.9024,0.2145
1.36,3.0954,0.0439,2.9129,0.2057
1.37,3.1007,0.0389,2.9232,0.1970
1.38,3.1058,0.0343,2.9331,0.1886
1.39,3.1106,0.0298,2.9428,0.1803
1.40,3.1150,0.0256,2.9523,0.1722
1.41,3.1192,0.0217,2.9615,0.1643
1.42,3.1231,0.0180,2.9704,0.1566
1.43,3.1266,0.0146,2.9791,0.1491
1.44,3.1299,0.0115,2.9876,0.1417
1.45,3.1328,0.0086,2.9958,0.1345
1.46,3.1354,0.0061,3.0038,0.1275
1.47,3.1376,0.0039,3.0115,0.1206
1.48,3.1395,0.0021,3.0191,0.1140
1.49,3.1408,0.0007,3.0264,0.1075
1.50,3.1416,0.0000,3.0334,0.1011
1.51,3.1416,0.0000,3.0403,0.0950
